NOMBRE_PER_RELACIONADA|RFC_PER_REL|PER_JURIDICA|TIPO_REL_INST|TIPO_OPE_BAL|CLASE_OPER_REL|MONEDA|IMPORTE|CAPITAL_BASICO|CAPITAL_BASICO1|CAPITAL_BASICO2|LIMITE_MAXIMO|MONTO_OPE_REL|CONCEPTO_PRR|NOM_GRUPO_EMP|ID_OPE_REL|CARACTERISTICAS|FECHA_ORIGINACION|FECHA_VENCIMIENTO|MONTO_AUTORIZADO|FECHA_DISPOSICION|MONTO_DISPUESTO|ORIGEN_OTROS_ACTIVOS|RAZON_CONSUMO_CAP|MONTO_CALC_ICAP|MONTOCONS_CAPBASIC|PORC_CONS_CAPBASICO|FECHA_INFO
GRUPO INDUSTRIAL ALFA SA DE CV|GIA850101AB3|2|13|1|10803|MXN|150000000.00|85000000000.00|60000000000.00|25000000000.00|25.0000|150000000.00|9|GRUPO ALFA|PRR-2026-0001-10803-MXN-001|2|2024/03/15|2029/03/15|200000000.00|2024/03/20|150000000.00|0|800|120000000.00|150000000.00|0.1765|2026/07/01
FINANCIERA DEL BAJIO SA DE CV|FBA920515CD4|2|12|1|10301|MXN|75000000.00|85000000000.00|60000000000.00|25000000000.00|25.0000|75000000.00|12|GRUPO BAJIO|PRR-2026-0002-10301-MXN-002|3|2025/01/10|2026/12/31|75000000.00|2025/01/15|75000000.00|0|860|0.00|0.00|0.0000|2026/07/01
CARLOS MARTINEZ LOPEZ|MALC780320QR5|1|16|1|10803|MXN|25000000.00|85000000000.00|60000000000.00|25000000000.00|25.0000|25000000.00|10|GRUPO MARTINEZ|PRR-2026-0003-10803-MXN-003|1|2023/06/01|2028/06/01|50000000.00|2023/06/05|25000000.00|0|820|20000000.00|25000000.00|0.0294|2026/07/01
INMOBILIARIA SANTA FE SA DE CV|ISF010830TK7|2|14|1|10501|MXN|8500000.00|85000000000.00|60000000000.00|25000000000.00|25.0000|8500000.00|10|GRUPO SANTA FE|PRR-2026-0004-10501-MXN-004|0|2025/11/01|2026/10/31|8500000.00|2025/11/05|8500000.00|1|810|0.00|0.00|0.0000|2026/07/01
ACEROS DEL NORTE SA DE CV|ANO950712HJ8|2|11|4|10601|MXN|42000000.00|85000000000.00|60000000000.00|25000000000.00|25.0000|42000000.00|10|GRUPO ACEROS|PRR-2026-0005-10601-MXN-005|10|2025/07/01|2026/06/30|42000000.00|2025/07/01|42000000.00|0|0|0.00|0.00|0.0000|2026/07/01
JOHN SMITH WILLIAMS|SWIJ850415XY9|4|16|1|10804|USD|3200000.00|85000000000.00|60000000000.00|25000000000.00|25.0000|3200000.00|10|GRUPO SMITH|PRR-2026-0006-10804-USD-006|4|2022/09/01|2027/09/01|5000000.00|2022/09/10|3200000.00|0|830|0.00|0.00|0.0000|2026/07/01
FIDEICOMISO DESARROLLO URBANO 12345|FDU060101AA1|7|13|3|10213|MXN|180000000.00|85000000000.00|60000000000.00|25000000000.00|25.0000|180000000.00|11|GRUPO DESARROLLO|PRR-2026-0007-10213-MXN-007|2|2024/01/15|2030/01/15|250000000.00|2024/02/01|180000000.00|0|840|144000000.00|180000000.00|0.2118|2026/07/01
SEGUROS MONTERREY SA DE CV|SMO880901LM2|2|12|1|10401|MXN|95000000.00|85000000000.00|60000000000.00|25000000000.00|25.0000|95000000.00|12|GRUPO MONTERREY|PRR-2026-0008-10401-MXN-008|8|2025/04/01|2026/09/30|95000000.00|2025/04/01|95000000.00|0|860|0.00|0.00|0.0000|2026/07/01
DISTRIBUIDORA CENTRAL SA DE CV|DCA070220PQ6|5|11|1|10805|MXN|12000000.00|85000000000.00|60000000000.00|25000000000.00|25.0000|12000000.00|10|GRUPO CENTRAL|PRR-2026-0009-10805-MXN-009|3|2026/02/01|2026/12/31|15000000.00|2026/02/10|12000000.00|0|810|0.00|0.00|0.0000|2026/07/01
MARIA ELENA GARCIA ROJAS|GARM690810AB1|1|16|1|10102|MXN|5000000.00|85000000000.00|60000000000.00|25000000000.00|25.0000|5000000.00|10|GRUPO GARCIA|PRR-2026-0010-10102-MXN-010|0|2026/06/15|2026/07/15|5000000.00|2026/06/15|5000000.00|0|860|0.00|0.00|0.0000|2026/07/01
